 23 3589.651845 1.699E-28 1.517E-03.06730.080 1266.55630.75-.004724       0 3 3 11       0 1 1 01                    P 40e     3666632432 9 9 711    79.0   81.0
 21 3589.654270 4.160E-25 5.353E+00.06320.069 2719.90290.72-.005605       1 2 2 12       0 2 2 01                    R 59f     4755532429 9 9 711   121.0  119.0
 23 3589.654772 2.524E-30 1.370E+01.06470.071 4068.86230.73-.005031       1 1 1 21       0 1 1 11                    P 54f     3655532432 9 9 711   107.0  109.0
 21 3589.660347 1.229E-30 7.478E-03.06450.071 3965.47850.73-.005107       1 4 4 11       1 2 2 01                    P 55f     3655532429 9 9 711   109.0  111.0
 24 3589.665514 1.506E-30 2.158E-02.06920.088 2391.68760.74-.003217       4 0 0 01       1 1 1 01                    R 29e     3666632432 9 9 711   366.0  354.0
 21 3589.676778 2.090E-27 3.604E-05.06730.080 1276.44760.75-.003666       3 0 0 01       0 1 1 01                    R 39e     3366632430 9 9 711    81.0   79.0
 24 3589.682748 2.991E-27 7.881E+00.06650.077 2125.58740.74-.004999       2 0 0 12       1 0 0 01                    R 44e     3765632432 9 9 711   546.0  534.0
 21 3589.685440 4.588E-27 1.407E-02.06110.067 2444.32380.70-.005406       0 3 3 11       0 1 1 01                    P 67e     3655532429 9 9 711   133.0  135.0
 22 3589.705811 3.190E-29 1.820E+01.08010.109 3592.29600.68-.003893       1 2 2 21       0 2 2 11                    P  9e     3666632431 9 9 711    34.0   38.0
 21 3589.707992 6.049E-29 3.597E-02.06570.074 3467.25980.74-.005225       2 2 2 13       2 0 0 03                    R 48e     3665632429 9 9 711    99.0   97.0
 21 3589.714640 2.565E-27 2.023E-04.07460.101 1391.60780.69-.004144       1 2 2 12       1 0 0 02                    P 16e     3666632429 9 9 711    31.0   33.0
 21 3589.716584 4.479E-30 2.411E-02.06710.080 3884.17860.75-.003753       3 4 4 02       1 3 3 02                    R 40f     3666632429 9 9 711    83.0   81.0
 21 3589.718141 1.967E-29 1.633E-06.07250.097 1449.38310.71-.003376       2 3 3 01       1 0 0 02                    P 20e     3666632429 9 9 711    39.0   41.0
 22 3589.725196 4.480E-28 1.625E+01.06730.080 3341.44420.75-.004678       2 2 2 11       1 2 2 01                    P 40e     3666632431 9 9 711   158.0  162.0
