Time - ADC Voltage	Amplitude - ADC Voltage
18,9000000	0,7633972
19,0000000	0,7685852
19,1000000	0,7737732
19,2000000	0,7794189
19,3000000	0,7843018
19,4000000	0,7894897
19,5000000	0,7951355
19,6000000	0,8001709
19,7000000	0,8056641
19,8000000	0,8108521
19,9000000	0,8158875
20,0000000	0,8216858
20,1000000	0,8265686
20,2000000	0,8314514
20,3000000	0,8367920
20,4000000	0,8424377
20,5000000	0,8477783
20,6000000	0,8529663
20,7000000	0,8584595
20,8000000	0,8639526
20,9000000	0,8699036
21,0000000	0,8752441
21,1000000	0,8804321
21,2000000	0,8859253
21,3000000	0,8908081
21,4000000	0,8959961
21,5000000	0,9014893
21,6000000	0,9062195
21,7000000	0,9115601
21,8000000	0,9167480
21,9000000	0,9217834
22,0000000	0,9268188
22,1000000	0,9321594
22,2000000	0,9365845
22,3000000	0,9419250
22,4000000	0,9472656
22,5000000	0,9519958
22,6000000	0,9573364
22,7000000	0,9625244
22,8000000	0,9671021
22,9000000	0,9718323
23,0000000	0,9770203
23,1000000	0,9819031
23,2000000	0,9872437
23,3000000	0,9922791
23,4000000	0,9971619
23,5000000	1,0018921
23,6000000	1,0067749
23,7000000	1,0122681
23,8000000	1,0173035
23,9000000	1,0205078
24,0000000	1,0255432
24,1000000	1,0298157
24,2000000	1,0340881
24,3000000	1,0386658
24,4000000	1,0437012
24,5000000	1,0484314
24,6000000	1,0533142
24,7000000	1,0581970
24,8000000	1,0623169
24,9000000	1,0670471
25,0000000	1,0723877
25,1000000	1,0766602
25,2000000	1,0815430
25,3000000	1,0864258
25,4000000	1,0903931
25,5000000	1,0952759
25,6000000	1,0995483
25,7000000	1,1038208
25,8000000	1,1083984
25,9000000	1,1131287
26,0000000	1,1172485
26,1000000	1,1218262
26,2000000	1,1267090
26,3000000	1,1311340
26,4000000	1,1360168
26,5000000	1,1401367
26,6000000	1,1442566
26,7000000	1,1476135
26,8000000	1,1512756
26,9000000	1,1555481
27,0000000	1,1601257
27,1000000	1,1639404
27,2000000	1,1683655
27,3000000	1,1727905
27,4000000	1,1764526
27,5000000	1,1805725
27,6000000	1,1845398
