Time - ADC Voltage	Amplitude - ADC Voltage
630	2,39594
631	2,3999
632	2,40356
633	2,40631
634	2,41058
635	2,41455
636	2,4176
637	2,42126
638	2,42493
639	2,42828
640	2,43195
641	2,43591
642	2,43866
643	2,44263
644	2,44537
645	2,44965
646	2,45331
647	2,45667
648	2,46002
649	2,46368
650	2,46765
651	2,4704
652	2,47467
653	2,47803
654	2,48199
655	2,48535
656	2,48932
657	2,49237
658	2,49634
659	2,49969
660	2,50305
661	2,50641
662	2,50946
663	2,51343
664	2,51709
665	2,52014
666	2,52411
667	2,52747
668	2,53082
669	2,5351
670	2,53845
671	2,54181
672	2,54608
673	2,54852
674	2,55188
675	2,55615
676	2,5592
677	2,56256
678	2,56653
679	2,56897
680	2,57324
681	2,5769
682	2,57996
683	2,58392
684	2,58759
685	2,59003
686	2,59369
687	2,59705
688	2,60101
689	2,60437
690	2,60773
691	2,61047
692	2,61475
693	2,61719
694	2,62177
695	2,62512
696	2,62848
697	2,63214
698	2,63672
699	2,63885
700	2,64221
701	2,64587
702	2,64954
703	2,65289
704	2,65686
705	2,66022
706	2,66296
707	2,66693
708	2,66998
709	2,67365
710	2,67761
711	2,68005
712	2,68433
713	2,68768
714	2,69073
715	2,6944
716	2,69806
717	2,70111
718	2,70477
719	2,70813
720	2,7121
721	2,71515
722	2,71881
723	2,72156
724	2,72522
725	2,72888
726	2,73193
727	2,7359
728	2,73895
729	2,742
730	2,74597
731	2,74872
732	2,75238
733	2,75513
734	2,75879
735	2,76215
736	2,7655
737	2,76978
738	2,77344
739	2,77649
740	2,78015
741	2,78351
742	2,78656
743	2,78961
744	2,79358
745	2,79663
746	2,79999
747	2,80365
748	2,8067
749	2,80975
750	2,81403
751	2,81708
752	2,82013
753	2,8241
754	2,82715
755	2,83081
756	2,83386
757	2,83722
758	2,84088
759	2,84454
760	2,84729
761	2,85095
762	2,85431
763	2,85767
764	2,86072
765	2,86499
766	2,86713
767	2,87079
768	2,87445
769	2,87689
770	2,88086
771	2,883
772	2,88696
773	2,89032
774	2,89307
775	2,89673
776	2,89978
777	2,90375
778	2,90741
779	2,91107
780	2,91412
781	2,91718
782	2,92053
783	2,92358
784	2,92786
785	2,9306
786	2,93427
787	2,93701
788	2,94067
789	2,94342
790	2,94708
791	2,95044
792	2,95349
793	2,95746
794	2,96021
795	2,96387
796	2,96722
797	2,96997
798	2,97394
799	-0,000915527
800	-0,00366211
801	-0,00366211
802	-0,00335693
803	-0,00366211
804	-0,00396729
805	-0,00335693
806	-0,00335693
807	-0,00335693
808	-0,00366211
809	-0,00366211
810	-0,00335693
811	-0,00427246
812	-0,00488281
813	-0,00366211
814	-0,00305176
815	-0,00335693
816	-0,00366211
817	-0,00335693
818	-0,00396729
819	-0,00335693
820	-0,00335693
821	-0,00305176
822	-0,00305176
823	-0,00335693
824	-0,00366211
825	-0,00366211
826	-0,00427246
827	-0,00396729
828	-0,00366211
829	-0,00335693
830	-0,00396729
831	-0,00274658
832	-0,00335693
833	-0,00396729
834	-0,00305176
835	-0,00335693
836	-0,00335693
837	-0,00274658
838	-0,00335693
839	-0,00335693
840	-0,00244141
841	-0,00152588
842	-0,0012207
843	-0,0012207
844	-0,000915527
845	-0,00152588
846	-0,00183105
847	-0,00274658
848	-0,00213623
849	-0,00213623
850	-0,00244141
851	-0,00183105
852	-0,00274658
853	-0,00305176
854	-0,00366211
855	-0,00427246
856	-0,00427246
857	-0,00274658
858	-0,00213623
859	-0,00152588
860	-0,000915527
861	-0,000610352
862	-0,00152588
863	-0,00152588
864	-0,00183105
865	-0,00244141
866	-0,00183105
867	-0,00213623
868	-0,00213623
869	-0,00213623
870	-0,00244141
871	-0,00183105
872	-0,00274658
873	-0,00244141
874	-0,00183105
875	-0,00274658
876	-0,00274658
877	-0,00183105
878	-0,00213623
879	-0,00244141
880	-0,00244141
881	-0,00213623
882	-0,00244141
883	-0,00152588
884	-0,00183105
885	-0,00244141
886	-0,00152588
887	-0,00213623
888	-0,00274658
889	-0,00244141
890	-0,00183105
891	-0,00244141
892	-0,00183105
893	-0,00305176
894	-0,00274658
895	-0,00152588
896	-0,00213623
897	-0,00213623
898	-0,00183105
899	-0,00244141
900	-0,00213623
901	-0,00183105
902	-0,00213623
903	-0,00213623
904	-0,00274658
905	-0,00274658
906	-0,00244141
907	-0,00274658
908	-0,00305176
909	-0,00183105
910	-0,00244141
911	-0,00274658
912	-0,00213623
913	-0,00213623
914	-0,00305176
915	-0,00183105
916	-0,00274658
917	-0,00305176
918	-0,00213623
919	-0,00213623
920	-0,00244141
921	-0,00183105
922	-0,00213623
923	-0,00244141
924	-0,00183105
925	-0,00244141
926	-0,00244141
927	-0,00213623
928	-0,00244141
929	-0,00183105
930	-0,00213623
931	-0,00244141
932	-0,00213623
933	-0,00335693
934	-0,00457764
935	-0,00396729
936	-0,00427246
937	-0,00274658
938	-0,0012207
939	-0,00152588
940	-0,0012207
941	-0,000915527
942	-0,000915527
943	-0,00213623
944	-0,00183105
945	-0,00183105
946	-0,00213623
947	-0,00183105
948	-0,00244141
949	-0,00213623
950	-0,00213623
951	-0,00244141
952	-0,00183105
953	-0,00183105
954	-0,00244141
955	-0,00152588
956	-0,00244141
957	-0,00213623
958	-0,00213623
959	-0,00183105
960	-0,00274658
961	-0,00183105
962	-0,00183105
963	-0,00183105
964	-0,00213623
965	-0,00244141
966	-0,00274658
967	-0,00213623
968	-0,00213623
969	-0,00244141
970	-0,00213623
971	-0,00244141
972	-0,00274658
973	-0,00244141
974	-0,00274658
975	-0,00274658
976	-0,00274658
977	-0,00366211
978	-0,00396729
979	-0,00366211
980	-0,00305176
981	-0,00183105
982	-0,000610352
983	-0,00213623
984	-0,000610352
985	-0,0012207
986	-0,00152588
987	-0,0012207
988	-0,00183105
989	-0,00213623
990	-0,00183105
991	-0,00244141
992	-0,00213623
993	-0,00183105
994	-0,00152588
995	-0,00244141
996	-0,00152588
997	-0,00183105
998	-0,00274658
999	-0,00152588
